,Experience,naive_means,naive_stdevs,cumulative_means,cumulative_stdevs,joint_training_means,joint_training_stdevs,replay_500_means,replay_500_stdevs,replay_2500_means,replay_2500_stdevs,lwf_means,lwf_stdevs
0,0,0.044500000000000005,0.0015132745950421596,0.0457,0.0005999999999999998,0.2008,0.0017435595774162717,0.0462,0.0006082762530298194,0.04580000000000001,0.0009539392014169428,0.04666666666666667,0.0002516611478423554
1,1,0.04763333333333333,0.00011547005383792445,0.0724,0.0018248287590894657,0.2008,0.0017435595774162717,0.0682,0.0022113344387495936,0.07130000000000002,0.0005567764362830044,0.06319999999999999,0.0011532562594670777
2,2,0.05066666666666667,0.0006506407098647689,0.10306666666666665,0.001250333288900759,0.2008,0.0017435595774162717,0.08663333333333333,0.002589079630550847,0.0933,0.002599999999999998,0.06726666666666667,0.0009073771725877504
3,3,0.0496,0.0008888194417315594,0.12223333333333335,0.0012583057392117852,0.2008,0.0017435595774162717,0.09483333333333334,0.0015947831618540926,0.10873333333333333,0.0018339392937971972,0.07179999999999999,0.004708502946797411
4,4,0.05176666666666666,0.0031817186131607163,0.14213333333333333,0.0014189197769195157,0.2008,0.0017435595774162717,0.09496666666666666,0.0023028967265887796,0.11259999999999999,0.00268514431641951,0.06883333333333334,0.0029670411748631497
5,5,0.05216666666666667,0.0018147543451754967,0.16773333333333332,0.003800438571182703,0.2008,0.0017435595774162717,0.09849999999999999,0.0032078029864690875,0.12563333333333335,0.0019139836293274248,0.07236666666666668,0.0022854612955229238
6,6,0.0551,0.0006082762530298234,0.19226666666666667,0.0012342339054382324,0.2008,0.0017435595774162717,0.11746666666666666,0.0037072002014098705,0.1463,0.0030512292604784634,0.0807,0.00190787840283389
7,7,0.05316666666666667,0.001305118130030127,0.21256666666666668,0.00047258156262525576,0.2008,0.0017435595774162717,0.11746666666666666,0.004801388688008226,0.1538,0.0010816653826391893,0.07286666666666666,0.002302896726588778
8,8,0.04586666666666667,0.0018339392937971881,0.22666666666666668,0.004874764951598514,0.2008,0.0017435595774162717,0.11286666666666667,0.0018339392937971842,0.15680000000000002,0.004419275958796873,0.07036666666666667,0.00047258156262525874
9,9,0.05686666666666667,0.0015307950004273337,0.2358,0.0028000000000000073,0.2008,0.0017435595774162717,0.10813333333333332,0.0015695009822658099,0.16013333333333335,0.00672408605933426,0.07126666666666666,0.0006806859285554108
